sender,receiver,number_of_characters,contains_urgent,contains_important,urgency_classification,send_date,send_time,claim_type,initial_priority,number_of_attachments,message_language
Electrician,Architect,366,False,False,not urgent and not important,2016-07-10,2016-07-10 17:19:31,administrative,medium,0,German
Architect,Architect,44,False,False,not urgent and not important,2016-11-11,2016-11-11 09:49:27,technical,high,0,Spanish
Mechanical,Architect,38,False,False,not urgent and not important,2019-10-11,2019-10-11 12:25:15,technical,low,0,English
Engineer,Contractor,102,False,False,not urgent and not important,2020-03-06,2020-03-06 17:12:27,technical,low,0,English
Electrician,Architect,142,True,False,urgent and important,2016-11-10,2016-11-10 17:10:03,technical,high,0,English
Architect,General Contractor,114,False,True,urgent and important,2019-05-29,2019-05-29 14:30:37,technical,medium,0,English
Architect,Electrician,94,False,False,urgent and not important,2023-05-05,2023-05-05 06:30:07,technical,high,0,English
Contractor,Owner,165,False,True,not urgent and important,2021-09-19,2021-09-18 19:02:34,administrative,high,0,Spanish
Architect,Architect,38,False,False,not urgent and not important,2021-01-29,2021-01-29 03:29:24,technical,medium,0,English
Architect,Electrician,133,False,False,not urgent and not important,1990-03-26,1990-03-26 04:47:02,financial,low,0,Spanish
Architect,Electrician,10,False,False,not urgent and not important,2019-07-20,2019-07-20 17:02:59,technical,low,0,Spanish
Architect,Claims Manager,384,False,False,not urgent and not important,1992-07-22,1992-07-22 18:18:12,logistical,high,0,English
Electrician,Electrician,68,False,True,urgent and not important,1996-07-13,1996-07-13 15:05:00,financial,low,1,German
Contractor,Contractor,114,False,False,not urgent and not important,1990-08-15,1990-08-15 13:32:00,technical,low,0,English
Architect,Client,89,False,False,not urgent and not important,2021-10-14,2021-10-13 21:49:09,technical,low,0,English
Contractor,Project Manager,276,False,False,not urgent and not important,1997-12-26,1997-12-26 14:47:24,administrative,medium,0,Spanish
electrician,electrician,49,False,False,not urgent and not important,2021-02-18,2021-02-18 12:09:36,financial,low,0,French
Electrician,Architect,179,True,False,not urgent and important,1979-04-24,1979-04-24 10:17:38,technical,high,0,English
Other,Architect,35,False,False,not urgent and not important,1990-04-06,1990-04-06 15:49:00,technical,high,0,Spanish
Electrician,Electrician,208,False,False,not urgent and not important,1993-09-30,1993-09-30 22:38:45,technical,medium,0,English
Quality Control Manager,Construction Manager,242,False,False,not urgent and not important,1996-08-08,1996-08-08 07:22:07,technical,medium,0,English
Supplier,Consultant,145,False,False,not urgent and not important,2017-06-15,2017-06-15 23:01:13,technical,low,0,German
Contractor,Architect,205,False,False,not urgent and not important,1990-04-11,1990-04-11 10:57:05,administrative,high,0,English
Electrician,Architect,72,False,False,not urgent and not important,1997-08-18,1997-08-18 23:27:27,technical,low,0,English
electrician,architect,128,False,False,not urgent and not important,1997-02-13,1997-02-13 10:44:44,technical,low,0,German
Architect,Supplier,112,False,False,not urgent and not important,2022-04-27,2022-04-27 14:21:33,logistical,low,0,English
Electrician,Architect,244,False,False,not urgent and not important,2019-08-25,2019-08-25 09:22:34,logistical,low,0,English
electrician,electrician,57,False,False,not urgent and not important,1986-09-26,1986-09-26 13:44:36,logistical,low,0,English
electrician,engineer,141,False,False,not urgent and not important,2021-12-01,2021-12-01 16:29:17,technical,medium,0,English
Agency,Consultant,261,False,False,not urgent and important,2019-10-28,2019-10-28 13:16:32,logistical,high,1,Spanish
Sub-contractor,Main contractor,56,False,False,not urgent and important,2017-11-24,2017-11-24 10:01:29,technical,low,0,French
Electrician,Electrician,49,False,False,not urgent and not important,2023-02-07,2023-02-07 12:05:54,technical,high,1,German
Architect,Architect,6,False,False,not urgent and not important,1999-12-14,1999-12-14 10:04:00,administrative,high,0,Spanish
Electrician,Architect,139,False,False,not urgent and not important,1999-02-09,2013-02-06 05:52:55,financial,medium,0,Spanish
Contractor,Architect,127,True,False,not urgent and not important,2018-03-19,2018-03-19 09:28:28,technical,high,0,English
Electrical,Architect,90,False,False,not urgent and not important,1995-07-06,1995-07-06 16:38:08,administrative,low,0,Spanish
Electrician,Architect,53,False,False,not urgent and not important,2023-04-24,2023-04-24 10:13:30,technical,medium,0,German
SUPPLIER,SUPPLIER,249,True,False,not urgent and important,2016-05-24,2016-05-24 10:21:42,technical,low,0,English
Electrician,Electrician,37,False,True,not urgent and important,2015-12-14,2015-12-14 07:00:00,technical,medium,0,Spanish
Project Manager,Project Manager,369,False,False,not urgent and not important,2020-11-24,2020-11-24 16:55:31,administrative,medium,0,English
Architect,Electrician,311,False,False,not urgent and not important,1992-09-10,1992-09-10 10:22:22,logistical,medium,0,Spanish
Architect,Architect,131,False,True,not urgent and not important,2011-04-22,2011-04-22 14:20:55,technical,medium,1,English
Electrician,Electrician,39,False,False,not urgent and not important,2022-06-20,2022-06-20 12:28:16,technical,medium,0,English
None,None,339,False,False,not urgent and not important,2019-03-31,2019-03-31 16:55:41,administrative,medium,0,French
Electrician,Glazier,28,False,False,not urgent and not important,2019-01-15,2019-01-15 13:47:08,technical,medium,0,English
Architect,Electrician,259,False,False,not urgent and not important,1960-07-03,1960-07-03 07:05:34,technical,medium,0,English
Architect,Contractor,66,False,False,not urgent and not important,2018-12-17,2018-12-17 13:22:50,technical,medium,0,Spanish
Electrician,Electrician,274,False,False,not urgent and not important,1997-11-10,1997-11-10 09:13:00,technical,low,0,English
Consultant,Client,509,False,False,not urgent and not important,2019-07-01,2019-07-01 13:46:38,administrative,medium,0,German
Engineer,Electrician,109,False,False,not urgent and not important,1989-03-03,1989-03-03 21:03:35,technical,high,0,English
Architect,Electrician,325,False,False,not urgent and not important,1998-09-28,1998-09-28 08:49:22,technical,medium,0,English
Contractor,Insurance company,266,False,False,not urgent and not important,1994-01-27,1994-01-27 16:05:00,technical,medium,0,Spanish
electrician,project manager,75,False,False,not urgent and not important,2018-04-26,2018-04-26 11:46:53,technical,low,0,English
architect,electrician,74,False,False,not urgent and not important,1990-03-08,1990-03-08 17:01:44,technical,high,0,English
Consultant,Client,255,False,False,not urgent and not important,1997-04-11,1997-04-11 14:23:54,administrative,low,0,German
Architect,Owner,140,False,False,not urgent and not important,2016-01-16,2016-01-16 18:40:25,administrative,low,0,Spanish
Owner,Contractor,170,False,True,not urgent and important,1997-04-11,1997-04-11 12:23:40,technical,high,0,English
Architect,Architect,185,False,False,not urgent and not important,1992-09-21,1992-09-21 14:02:00,technical,medium,0,English
Electrician,Electrician,240,True,False,not urgent and not important,2022-09-24,2022-09-23 11:23:18,technical,high,0,English
Contractor,Homeowner,338,False,False,not urgent and not important,1995-12-14,1995-12-14 23:31:10,technical,low,0,English
Contractor,Architect,421,True,False,not urgent and important,2009-08-20,2009-08-20 14:12:44,logistical,low,0,Spanish
Electrical,Electrical,197,False,False,not urgent and not important,2022-05-09,2022-05-09 14:32:56,technical,high,0,English
Architect,Electrician,139,False,False,not urgent and important,1990-05-15,1990-05-15 00:16:40,logistical,low,0,German
architect,architect,122,False,False,not urgent and important,2019-09-20,2019-09-20 13:00:00,financial,medium,0,English
Architect,Electrician,166,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,Spanish
Contractor,Architect,89,False,False,not urgent and important,2020-07-09,2020-07-09 11:41:42,logistical,low,0,English
Owner,Electrician,56,False,False,not urgent and not important,1999-06-19,1999-06-19 09:42:10,technical,low,0,English
Architect,Owner,98,False,False,not urgent and not important,2017-11-01,2017-11-01 00:00:00,administrative,high,0,English
Electrician,Architect,15,False,False,not urgent and not important,1995-04-14,1995-04-14 23:37:37,technical,medium,0,English
Contractor,Contractor,200,False,False,not urgent and not important,2022-04-21,2022-04-21 13:41:05,logistical,low,0,Spanish
Client,Contractor,223,True,False,urgent and not important,2018-08-22,2018-08-22 19:49:25,technical,medium,0,English
Architect,Architect,138,False,False,not urgent and not important,1995-11-26,1995-11-26 11:16:43,logistical,medium,0,English
Electrician,Architect,228,False,False,not urgent and not important,1999-05-07,1999-05-07 06:09:10,administrative,medium,0,English
electrician,architect,52,False,False,not urgent and not important,1998-04-27,1998-04-27 20:23:00,technical,medium,0,English
Architect,Electrician,27,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,Spanish
General Contractor,General Contractor,24,False,True,not urgent and important,2020-11-12,2020-11-12 16:35:06,technical,low,0,English
electrician,architect,4,False,False,not urgent and not important,1999-09-29,1999-09-29 19:09:14,technical,low,0,English
Superintendent,Superintendent,196,False,False,not urgent and not important,1985-11-19,1985-11-19 11:36:41,financial,medium,0,Spanish
Subcontractor,Consultant,210,False,False,not urgent and not important,1991-06-12,1991-06-12 14:07:07,financial,medium,0,English
architect,electrician,199,False,False,not urgent and not important,2021-11-30,2021-11-30 03:23:29,technical,low,0,English
Architect,Architect,440,False,False,not urgent and not important,2016-02-08,2016-02-08 14:16:16,technical,low,0,German
Trades,Trades,32,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,low,0,English
Architect,Architect,35,True,False,not urgent and not important,2018-05-29,2018-05-29 13:47:21,administrative,medium,0,German
Electrician,Architect,32,False,False,not urgent and not important,1999-10-28,1999-10-28 19:46:23,technical,medium,0,English
consultant,architect,22,False,False,not urgent and not important,1995-08-18,1995-08-18 17:26:11,logistical,medium,0,French
General Contractor,General Contractor,78,False,False,not urgent and not important,1999-10-15,1999-10-15 16:44:38,technical,medium,0,English
Architect,"The role of the person receiving the message, e.g., architect, electrician, etc.",267,False,False,not urgent and not important,1999-04-22,1999-04-22 11:55:12,technical,low,0,Spanish
Electrician,Electrician,134,False,False,not urgent and important,2023-03-23,2023-03-23 08:41:11,technical,medium,0,Spanish
Subcontractor,Subcontractor,46,False,False,not urgent and not important,1999-01-29,1999-01-29 04:45:21,technical,high,0,English
Consultant,Consultant,30,False,False,not urgent and not important,1998-08-25,1998-08-25 17:35:00,logistical,low,0,Spanish
Contractor,General Contractor,17,False,False,not urgent and not important,1995-07-04,1995-07-04 03:09:20,administrative,low,0,English
Architect,Architect,254,False,False,not urgent and not important,2019-04-18,2019-04-18 13:31:45,technical,low,0,Spanish
executor,owner,228,True,False,not urgent and not important,2009-10-29,2009-10-29 23:03:46,technical,medium,0,English
Electrician,Electrician,56,False,False,not urgent and not important,2021-01-01,2021-01-01 20:28:54,technical,medium,0,English
Electrician,Architect,120,False,False,not urgent and not important,1993-05-11,1993-05-11 04:42:12,technical,medium,0,English
Architect,Architect,96,True,False,urgent and not important,1980-05-25,1980-05-25 03:03:08,administrative,medium,0,English
Other,Architect,13,False,False,not urgent and not important,2021-08-19,2021-08-19 10:46:11,administrative,low,0,English
Contractor,Architect,120,False,False,not urgent and not important,2019-09-17,2019-09-17 09:55:45,administrative,low,0,English
Project Manager,Project Manager,189,False,False,not urgent and important,1988-01-03,1988-01-03 10:26:00,administrative,low,0,English
architect,client,123,False,False,not urgent and not important,1981-01-01,1981-01-01 00:52:19,technical,medium,0,English
Architect,Subcontractor,135,False,False,not urgent and not important,2020-06-16,2020-06-16 14:15:39,administrative,medium,0,Spanish
Electrician,Architect,377,False,False,not urgent and not important,2018-11-16,2018-11-16 10:29:51,technical,medium,0,English
electrician,electrician,242,False,False,not urgent and not important,2019-06-03,2019-06-02 23:00:48,technical,low,0,French
Architect,Electrician,153,False,False,not urgent and not important,2020-08-14,2020-08-14 13:23:15,technical,low,0,Spanish
Contractor,Clients,31,False,False,not urgent and not important,2017-07-27,2017-07-27 10:22:12,administrative,medium,0,French
Principal,Contractor,113,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,1,English
architect,architect,18,False,False,not urgent and not important,1999-11-15,1999-11-15 13:43:29,administrative,medium,0,Spanish
Electrician,Electrician,129,False,False,not urgent and not important,1995-01-24,1995-01-24 00:22:33,technical,medium,0,English
Architect,Electrician,78,True,True,urgent and important,2018-12-03,2018-12-03 13:54:36,logistical,high,0,Spanish
Construction Manager,Medium Voltage Electrician,45,False,False,not urgent and not important,1956-09-25,1956-09-25 15:51:28,technical,medium,0,English
Electrician,Electrician,290,False,False,not urgent and not important,2021-06-23,2021-06-23 17:06:48,logistical,high,0,English
Project Manager,Electrician,131,False,False,not urgent and not important,2018-11-16,2018-11-15 23:25:27,technical,medium,1,French
Architect,Architect,1022,False,False,not urgent and not important,2019-04-12,2019-04-12 12:44:17,technical,medium,0,Spanish
Contractor,Owner,200,False,False,not urgent and not important,1996-01-04,1996-01-04 00:00:00,technical,low,0,English
Electrician,Architect,118,False,False,not urgent and not important,2003-08-23,2003-08-23 14:17:25,administrative,medium,0,English
Other,Other,253,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,administrative,medium,0,Spanish
Electrician,Electrician,279,False,False,not urgent and not important,2019-10-17,2019-10-17 14:26:28,technical,high,0,German
Electrician,Architect,199,False,False,not urgent and not important,2018-05-28,2018-05-28 16:39:52,technical,low,0,English
Architect,Architect,177,False,False,not urgent and not important,2016-02-05,2016-02-05 10:13:25,technical,medium,0,English
architect,engineer,11,False,False,not urgent and not important,2013-09-20,2013-09-20 15:10:01,technical,high,0,French
Architect,Architect,148,False,False,not urgent and not important,1997-03-13,1997-03-13 13:48:22,technical,low,0,German
electrician,electrician,112,False,False,not urgent and not important,2020-03-12,2020-03-12 19:51:38,technical,low,0,English
Contractor,Client,57,False,False,not urgent and not important,2019-06-14,2019-06-14 17:30:22,logistical,low,0,English
Project Manager,Supervisor,110,False,False,not urgent and not important,2020-08-20,2020-08-20 07:34:12,financial,medium,0,English
Electrician,Contractor,367,True,False,not urgent and not important,1980-02-14,1980-02-14 15:13:39,technical,high,0,English
Subcontractor,Client,80,False,False,not urgent and not important,1998-04-20,1998-04-20 17:04:57,technical,low,0,Spanish
Mechanic,Mechanic,78,False,False,not urgent and not important,1990-02-21,2019-02-21 21:03:25,technical,medium,0,Spanish
Architect,Electrician,106,False,True,urgent and important,2018-10-18,2018-10-18 04:00:44,technical,low,0,English
Electrician,Mechanic,26,False,False,not urgent and not important,2020-02-22,2020-02-22 02:31:12,technical,low,0,Spanish
Architect,Architect,28,False,False,not urgent and not important,2014-09-03,2014-09-03 11:02:56,technical,low,0,English
Contractor,Owner,274,False,False,not urgent and not important,1970-01-01,2019-02-19 18:06:15,logistical,medium,0,English
electrician,architect,131,False,False,not urgent and not important,1996-03-19,1996-03-19 15:55:00,technical,high,0,German
Architect,Architect,56,False,False,not urgent and not important,1987-07-28,1987-07-28 15:39:40,logistical,medium,0,English
Client,Architect,263,False,False,not urgent and not important,2018-11-17,2018-11-17 11:07:35,administrative,medium,0,Spanish
Insurance Company,Contractor,126,False,False,not urgent and not important,2021-12-21,2021-12-21 11:43:42,logistical,low,0,English
Electrician,Architect,53,False,False,not urgent and not important,2015-10-22,2015-10-22 13:31:49,technical,high,0,English
Architect,Electrician,27,False,True,not urgent and important,1931-07-09,1931-07-09 08:12:50,financial,medium,0,Spanish
Contractor,Owner,327,False,False,not urgent and not important,2020-08-18,2020-08-18 11:50:18,technical,low,0,German
Electrical,Electrical,54,False,False,not urgent and not important,2018-10-13,2018-10-13 03:35:29,technical,medium,0,German
Owner,Contractor,126,False,False,not urgent and important,2018-07-26,2018-07-25 19:56:14,financial,low,0,English
Electrical Contractor,Subcontractor,218,False,False,not urgent and not important,1997-08-12,1997-08-12 09:41:56,technical,high,0,English
